id;root;rootN;family;modeNr;modeName;RMS;spelling;n1;n2;n3;n4;n5;n6;n7;n8;nn1;nn2;nn3;nn4;nn5;nn6;nn7;nn8;c1;c2;c3;c4;c5;c6;c7;c8
498;6;F;Modes of Double Harmonic Scale;3;Ultraphrygian;2;b;6;7;9;10;1;2;3;;F;Gb;Ab;A;C;Db;D;;;;;;;;;
499;7;F#;Modes of Double Harmonic Scale;3;Ultraphrygian;3;;7;8;10;11;2;3;4;;F#;G;A;A#;C#;D;D#;;;;;;;;;
500;8;G;Modes of Double Harmonic Scale;3;Ultraphrygian;4;b;8;9;11;12;3;4;5;;G;Ab;Bb;B;D;Eb;E;;;;;;;;;
501;9;G#;Modes of Double Harmonic Scale;3;Ultraphrygian;5;;9;10;12;1;4;5;6;;G#;A;B;C;D#;E;F;;;;;;;;;
502;10;A;Modes of Double Harmonic Scale;3;Ultraphrygian;6;b;10;11;1;2;5;6;7;;A;Bb;C;Db;E;F;Gb;;;;;;;;;
503;11;A#;Modes of Double Harmonic Scale;3;Ultraphrygian;7;;11;12;2;3;6;7;8;;A#;B;C#;D;F;F#;G;;;;;;;;;
504;12;B;Modes of Double Harmonic Scale;3;Ultraphrygian;8;;12;1;3;4;7;8;9;;B;C;D;D#;F#;G;G#;;;;;;;;;
505;1;C;Modes of Double Harmonic Scale;4;Hungarian/Gypsy Minor;4;b;1;3;4;7;8;9;12;;C;D;Eb;Gb;G;Ab;B;;;;;;;;;
506;2;C#;Modes of Double Harmonic Scale;4;Hungarian/Gypsy Minor;5;;2;4;5;8;9;10;1;;C#;D#;E;G;G#;A;C;;;;;;;;;
507;3;D;Modes of Double Harmonic Scale;4;Hungarian/Gypsy Minor;6;b;3;5;6;9;10;11;2;;D;E;F;Ab;A;Bb;Db;;;;;;;;;
508;4;D#;Modes of Double Harmonic Scale;4;Hungarian/Gypsy Minor;7;;4;6;7;10;11;12;3;;D#;F;F#;A;A#;B;D;;;;;;;;;
509;5;E;Modes of Double Harmonic Scale;4;Hungarian/Gypsy Minor;8;;5;7;8;11;12;1;4;;E;F#;G;A#;B;C;D#;;;;;;;;;
510;6;F;Modes of Double Harmonic Scale;4;Hungarian/Gypsy Minor;9;b;6;8;9;12;1;2;5;;F;G;Ab;B;C;Db;E;;;;;;;;;
511;7;F#;Modes of Double Harmonic Scale;4;Hungarian/Gypsy Minor;10;;7;9;10;1;2;3;6;;F#;G#;A;C;C#;D;F;;;;;;;;;
512;8;G;Modes of Double Harmonic Scale;4;Hungarian/Gypsy Minor;11;b;8;10;11;2;3;4;7;;G;A;Bb;Db;D;Eb;Gb;;;;;;;;;
513;9;G#;Modes of Double Harmonic Scale;4;Hungarian/Gypsy Minor;12;;9;11;12;3;4;5;8;;G#;A#;B;D;D#;E;G;;;;;;;;;
514;10;A;Modes of Double Harmonic Scale;4;Hungarian/Gypsy Minor;1;b;10;12;1;4;5;6;9;;A;B;C;Eb;E;F;Ab;;;;;;;;;
515;11;Bb;Modes of Double Harmonic Scale;4;Hungarian/Gypsy Minor;2;b;11;1;2;5;6;7;10;;Bb;C;Db;E;F;Gb;A;;;;;;;;;
516;12;B;Modes of Double Harmonic Scale;4;Hungarian/Gypsy Minor;3;;12;2;3;6;7;8;11;;B;C#;D;F;F#;G;A#;;;;;;;;;
517;1;C;Modes of Double Harmonic Scale;5;Oriental;6;b;1;2;5;6;7;10;11;;C;Db;E;F;Gb;A;Bb;;;;;;;;;
518;2;C#;Modes of Double Harmonic Scale;5;Oriental;7;;2;3;6;7;8;11;12;;C#;D;F;F#;G;A#;B;;;;;;;;;
519;3;D;Modes of Double Harmonic Scale;5;Oriental;8;;3;4;7;8;9;12;1;;D;D#;F#;G;G#;B;C;;;;;;;;;
520;4;Eb;Modes of Double Harmonic Scale;5;Oriental;9;b;4;5;8;9;10;1;2;;Eb;E;G;Ab;A;C;Db;;;;;;;;;
521;5;E;Modes of Double Harmonic Scale;5;Oriental;10;;5;6;9;10;11;2;3;;E;F;G#;A;A#;C#;D;;;;;;;;;
522;6;F;Modes of Double Harmonic Scale;5;Oriental;11;b;6;7;10;11;12;3;4;;F;Gb;A;Bb;B;D;Eb;;;;;;;;;
523;7;F#;Modes of Double Harmonic Scale;5;Oriental;12;;7;8;11;12;1;4;5;;F#;G;A#;B;C;D#;E;;;;;;;;;
524;8;G;Modes of Double Harmonic Scale;5;Oriental;1;b;8;9;12;1;2;5;6;;G;Ab;B;C;Db;E;F;;;;;;;;;
525;9;Ab;Modes of Double Harmonic Scale;5;Oriental;2;b;9;10;1;2;3;6;7;;Ab;A;C;Db;D;F;Gb;;;;;;;;;
526;10;A;Modes of Double Harmonic Scale;5;Oriental;3;;10;11;2;3;4;7;8;;A;A#;C#;D;D#;F#;G;;;;;;;;;
527;11;Bb;Modes of Double Harmonic Scale;5;Oriental;4;b;11;12;3;4;5;8;9;;Bb;B;D;Eb;E;G;Ab;;;;;;;;;
528;12;B;Modes of Double Harmonic Scale;5;Oriental;5;;12;1;4;5;6;9;10;;B;C;D#;E;F;G#;A;;;;;;;;;
529;1;C;Modes of Double Harmonic Scale;6;Ionian s2 s5;1;b;1;4;5;6;9;10;12;;C;Eb;E;F;Ab;A;B;;;;;;;;;
530;2;Db;Modes of Double Harmonic Scale;6;Ionian s2 s5;2;b;2;5;6;7;10;11;1;;Db;E;F;Gb;A;Bb;C;;;;;;;;;
531;3;D;Modes of Double Harmonic Scale;6;Ionian s2 s5;3;;3;6;7;8;11;12;2;;D;F;F#;G;A#;B;C#;;;;;;;;;
532;4;Eb;Modes of Double Harmonic Scale;6;Ionian s2 s5;4;b;4;7;8;9;12;1;3;;Eb;Gb;G;Ab;B;C;D;;;;;;;;;
533;5;E;Modes of Double Harmonic Scale;6;Ionian s2 s5;5;;5;8;9;10;1;2;4;;E;G;G#;A;C;C#;D#;;;;;;;;;
534;6;F;Modes of Double Harmonic Scale;6;Ionian s2 s5;6;b;6;9;10;11;2;3;5;;F;Ab;A;Bb;Db;D;E;;;;;;;;;
535;7;F#;Modes of Double Harmonic Scale;6;Ionian s2 s5;7;;7;10;11;12;3;4;6;;F#;A;A#;B;D;D#;F;;;;;;;;;
536;8;G;Modes of Double Harmonic Scale;6;Ionian s2 s5;8;;8;11;12;1;4;5;7;;G;A#;B;C;D#;E;F#;;;;;;;;;
537;9;Ab;Modes of Double Harmonic Scale;6;Ionian s2 s5;9;b;9;12;1;2;5;6;8;;Ab;B;C;Db;E;F;G;;;;;;;;;
538;10;A;Modes of Double Harmonic Scale;6;Ionian s2 s5;10;;10;1;2;3;6;7;9;;A;C;C#;D;F;F#;G#;;;;;;;;;
539;11;Bb;Modes of Double Harmonic Scale;6;Ionian s2 s5;11;b;11;2;3;4;7;8;10;;Bb;Db;D;Eb;Gb;G;A;;;;;;;;;
540;12;B;Modes of Double Harmonic Scale;6;Ionian s2 s5;12;;12;3;4;5;8;9;11;;B;D;D#;E;G;G#;A#;;;;;;;;;
541;1;C;Modes of Double Harmonic Scale;7;Locrian ff3 ff7;2;b;1;2;3;6;7;9;10;;C;Db;D;F;Gb;Ab;A;;;;;;;;;
542;2;C#;Modes of Double Harmonic Scale;7;Locrian ff3 ff7;3;;2;3;4;7;8;10;11;;C#;D;D#;F#;G;A;A#;;;;;;;;;
543;3;D;Modes of Double Harmonic Scale;7;Locrian ff3 ff7;4;b;3;4;5;8;9;11;12;;D;Eb;E;G;Ab;Bb;B;;;;;;;;;
544;4;D#;Modes of Double Harmonic Scale;7;Locrian ff3 ff7;5;;4;5;6;9;10;12;1;;D#;E;F;G#;A;B;C;;;;;;;;;
545;5;E;Modes of Double Harmonic Scale;7;Locrian ff3 ff7;6;b;5;6;7;10;11;1;2;;E;F;Gb;A;Bb;C;Db;;;;;;;;;
546;6;F;Modes of Double Harmonic Scale;7;Locrian ff3 ff7;7;;6;7;8;11;12;2;3;;F;F#;G;A#;B;C#;D;;;;;;;;;
547;7;F#;Modes of Double Harmonic Scale;7;Locrian ff3 ff7;8;;7;8;9;12;1;3;4;;F#;G;G#;B;C;D;D#;;;;;;;;;
548;8;G;Modes of Double Harmonic Scale;7;Locrian ff3 ff7;9;b;8;9;10;1;2;4;5;;G;Ab;A;C;Db;Eb;E;;;;;;;;;
549;9;G#;Modes of Double Harmonic Scale;7;Locrian ff3 ff7;10;;9;10;11;2;3;5;6;;G#;A;A#;C#;D;E;F;;;;;;;;;
550;10;A;Modes of Double Harmonic Scale;7;Locrian ff3 ff7;11;b;10;11;12;3;4;6;7;;A;Bb;B;D;Eb;F;Gb;;;;;;;;;
551;11;A#;Modes of Double Harmonic Scale;7;Locrian ff3 ff7;12;;11;12;1;4;5;7;8;;A#;B;C;D#;E;F#;G;;;;;;;;;
552;12;B;Modes of Double Harmonic Scale;7;Locrian ff3 ff7;1;b;12;1;2;5;6;8;9;;B;C;Db;E;F;G;Ab;;;;;;;;;
553;1;C;Neapolitan Scales;1;Neapolitan Minor Scale;4;b;1;2;4;6;8;9;12;;C;Db;Eb;F;G;Ab;B;;;;;;;;;
554;2;C#;Neapolitan Scales;1;Neapolitan Minor Scale;5;;2;3;5;7;9;10;1;;C#;D;E;F#;G#;A;C;;;;;;;;;
555;3;D;Neapolitan Scales;1;Neapolitan Minor Scale;6;b;3;4;6;8;10;11;2;;D;Eb;F;G;A;Bb;Db;;;;;;;;;
556;4;D#;Neapolitan Scales;1;Neapolitan Minor Scale;7;;4;5;7;9;11;12;3;;D#;E;F#;G#;A#;B;D;;;;;;;;;
557;5;E;Neapolitan Scales;1;Neapolitan Minor Scale;8;;5;6;8;10;12;1;4;;E;F;G;A;B;C;D#;;;;;;;;;
558;6;F;Neapolitan Scales;1;Neapolitan Minor Scale;9;b;6;7;9;11;1;2;5;;F;Gb;Ab;Bb;C;Db;E;;;;;;;;;
559;7;F#;Neapolitan Scales;1;Neapolitan Minor Scale;10;;7;8;10;12;2;3;6;;F#;G;A;B;C#;D;F;;;;;;;;;
560;8;G;Neapolitan Scales;1;Neapolitan Minor Scale;11;b;8;9;11;1;3;4;7;;G;Ab;Bb;C;D;Eb;Gb;;;;;;;;;
561;9;G#;Neapolitan Scales;1;Neapolitan Minor Scale;12;;9;10;12;2;4;5;8;;G#;A;B;C#;D#;E;G;;;;;;;;;
562;10;A;Neapolitan Scales;1;Neapolitan Minor Scale;1;b;10;11;1;3;5;6;9;;A;Bb;C;D;E;F;Ab;;;;;;;;;
563;11;Bb;Neapolitan Scales;1;Neapolitan Minor Scale;2;b;11;12;2;4;6;7;10;;Bb;B;Db;Eb;F;Gb;A;;;;;;;;;
564;12;B;Neapolitan Scales;1;Neapolitan Minor Scale;3;;12;1;3;5;7;8;11;;B;C;D;E;F#;G;A#;;;;;;;;;
565;1;C;Neapolitan Scales;2;Neapolitan Major Scale;4;b;1;2;4;6;8;10;12;;C;Db;Eb;F;G;A;B;;;;;;;;;
566;2;C#;Neapolitan Scales;2;Neapolitan Major Scale;5;;2;3;5;7;9;11;1;;C#;D;E;F#;G#;A#;C;;;;;;;;;
567;3;D;Neapolitan Scales;2;Neapolitan Major Scale;6;b;3;4;6;8;10;12;2;;D;Eb;F;G;A;B;Db;;;;;;;;;
568;4;D#;Neapolitan Scales;2;Neapolitan Major Scale;7;;4;5;7;9;11;1;3;;D#;E;F#;G#;A#;C;D;;;;;;;;;
569;5;E;Neapolitan Scales;2;Neapolitan Major Scale;8;;5;6;8;10;12;2;4;;E;F;G;A;B;C#;D#;;;;;;;;;
570;6;F;Neapolitan Scales;2;Neapolitan Major Scale;9;b;6;7;9;11;1;3;5;;F;Gb;Ab;Bb;C;D;E;;;;;;;;;
571;7;F#;Neapolitan Scales;2;Neapolitan Major Scale;10;;7;8;10;12;2;4;6;;F#;G;A;B;C#;D#;F;;;;;;;;;
572;8;G;Neapolitan Scales;2;Neapolitan Major Scale;11;b;8;9;11;1;3;5;7;;G;Ab;Bb;C;D;E;Gb;;;;;;;;;
573;9;G#;Neapolitan Scales;2;Neapolitan Major Scale;12;;9;10;12;2;4;6;8;;G#;A;B;C#;D#;F;G;;;;;;;;;
574;10;A;Neapolitan Scales;2;Neapolitan Major Scale;1;b;10;11;1;3;5;7;9;;A;Bb;C;D;E;Gb;Ab;;;;;;;;;
575;11;Bb;Neapolitan Scales;2;Neapolitan Major Scale;2;b;11;12;2;4;6;8;10;;Bb;B;Db;Eb;F;G;A;;;;;;;;;
576;12;B;Neapolitan Scales;2;Neapolitan Major Scale;3;;12;1;3;5;7;9;11;;B;C;D;E;F#;G#;A#;;;;;;;;;
577;1;C;Bebop Scales;1;Bebop Major;1;b;1;3;5;6;8;9;10;12;C;D;E;F;G;Ab;A;B;;;;;;;;
578;2;Db;Bebop Scales;1;Bebop Major;2;b;2;4;6;7;9;10;11;1;Db;Eb;F;Gb;Ab;A;Bb;C;;;;;;;;
579;3;D;Bebop Scales;1;Bebop Major;3;;3;5;7;8;10;11;12;2;D;E;F#;G;A;A#;B;C#;;;;;;;;
580;4;Eb;Bebop Scales;1;Bebop Major;4;b;4;6;8;9;11;12;1;3;Eb;F;G;Ab;Bb;B;C;D;;;;;;;;
581;5;E;Bebop Scales;1;Bebop Major;5;;5;7;9;10;12;1;2;4;E;F#;G#;A;B;C;C#;D#;;;;;;;;
582;6;F;Bebop Scales;1;Bebop Major;6;b;6;8;10;11;1;2;3;5;F;G;A;Bb;C;Db;D;E;;;;;;;;
583;7;F#;Bebop Scales;1;Bebop Major;7;;7;9;11;12;2;3;4;6;F#;G#;A#;B;C#;D;D#;F;;;;;;;;
584;8;G;Bebop Scales;1;Bebop Major;8;;8;10;12;1;3;4;5;7;G;A;B;C;D;D#;E;F#;;;;;;;;
585;9;Ab;Bebop Scales;1;Bebop Major;9;b;9;11;1;2;4;5;6;8;Ab;Bb;C;Db;Eb;E;F;G;;;;;;;;
586;10;A;Bebop Scales;1;Bebop Major;10;;10;12;2;3;5;6;7;9;A;B;C#;D;E;F;F#;G#;;;;;;;;
587;11;Bb;Bebop Scales;1;Bebop Major;11;b;11;1;3;4;6;7;8;10;Bb;C;D;Eb;F;Gb;G;A;;;;;;;;
588;12;B;Bebop Scales;1;Bebop Major;12;;12;2;4;5;7;8;9;11;B;C#;D#;E;F#;G;G#;A#;;;;;;;;
589;1;C;Bebop Scales;2;Bebop Melodic Minor;4;b;1;3;4;6;8;9;10;12;C;D;Eb;F;G;Ab;A;B;;;;;;;;
590;2;C#;Bebop Scales;2;Bebop Melodic Minor;5;;2;4;5;7;9;10;11;1;C#;D#;E;F#;G#;A;A#;C;;;;;;;;
591;3;D;Bebop Scales;2;Bebop Melodic Minor;6;b;3;5;6;8;10;11;12;2;D;E;F;G;A;Bb;B;Db;;;;;;;;
592;4;D#;Bebop Scales;2;Bebop Melodic Minor;7;;4;6;7;9;11;12;1;3;D#;F;F#;G#;A#;B;C;D;;;;;;;;
593;5;E;Bebop Scales;2;Bebop Melodic Minor;8;;5;7;8;10;12;1;2;4;E;F#;G;A;B;C;C#;D#;;;;;;;;
594;6;F;Bebop Scales;2;Bebop Melodic Minor;9;b;6;8;9;11;1;2;3;5;F;G;Ab;Bb;C;Db;D;E;;;;;;;;
595;7;F#;Bebop Scales;2;Bebop Melodic Minor;10;;7;9;10;12;2;3;4;6;F#;G#;A;B;C#;D;D#;F;;;;;;;;
596;8;G;Bebop Scales;2;Bebop Melodic Minor;11;b;8;10;11;1;3;4;5;7;G;A;Bb;C;D;Eb;E;Gb;;;;;;;;
597;9;G#;Bebop Scales;2;Bebop Melodic Minor;12;;9;11;12;2;4;5;6;8;G#;A#;B;C#;D#;E;F;G;;;;;;;;
598;10;A;Bebop Scales;2;Bebop Melodic Minor;1;b;10;12;1;3;5;6;7;9;A;B;C;D;E;F;Gb;Ab;;;;;;;;
599;11;Bb;Bebop Scales;2;Bebop Melodic Minor;2;b;11;1;2;4;6;7;8;10;Bb;C;Db;Eb;F;Gb;G;A;;;;;;;;
600;12;B;Bebop Scales;2;Bebop Melodic Minor;3;;12;2;3;5;7;8;9;11;B;C#;D;E;F#;G;G#;A#;;;;;;;;
601;1;C;Bebop Scales;3;Bebop Dorian;7;;1;3;4;5;6;8;10;11;C;D;D#;E;F;G;A;A#;;;;;;;;
602;2;C#;Bebop Scales;3;Bebop Dorian;8;;2;4;5;6;7;9;11;12;C#;D#;E;F;F#;G#;A#;B;;;;;;;;
603;3;D;Bebop Scales;3;Bebop Dorian;9;b;3;5;6;7;8;10;12;1;D;E;F;Gb;G;A;B;C;;;;;;;;
604;4;D#;Bebop Scales;3;Bebop Dorian;10;;4;6;7;8;9;11;1;2;D#;F;F#;G;G#;A#;C;C#;;;;;;;;
605;5;E;Bebop Scales;3;Bebop Dorian;11;b;5;7;8;9;10;12;2;3;E;Gb;G;Ab;A;B;Db;D;;;;;;;;
606;6;F;Bebop Scales;3;Bebop Dorian;12;;6;8;9;10;11;1;3;4;F;G;G#;A;A#;C;D;D#;;;;;;;;
607;7;Gb;Bebop Scales;3;Bebop Dorian;1;b;7;9;10;11;12;2;4;5;Gb;Ab;A;Bb;B;Db;Eb;E;;;;;;;;
608;8;G;Bebop Scales;3;Bebop Dorian;2;b;8;10;11;12;1;3;5;6;G;A;Bb;B;C;D;E;F;;;;;;;;
609;9;G#;Bebop Scales;3;Bebop Dorian;3;;9;11;12;1;2;4;6;7;G#;A#;B;C;C#;D#;F;F#;;;;;;;;
610;10;A;Bebop Scales;3;Bebop Dorian;4;b;10;12;1;2;3;5;7;8;A;B;C;Db;D;E;Gb;G;;;;;;;;
611;11;A#;Bebop Scales;3;Bebop Dorian;5;;11;1;2;3;4;6;8;9;A#;C;C#;D;D#;F;G;G#;;;;;;;;
612;12;B;Bebop Scales;3;Bebop Dorian;6;b;12;2;3;4;5;7;9;10;B;Db;D;Eb;E;Gb;Ab;A;;;;;;;;
613;1;C;Bebop Scales;4;Bebop Minor;10;;1;3;4;6;8;10;11;12;C;D;D#;F;G;A;A#;B;;;;;;;;
614;2;Db;Bebop Scales;4;Bebop Minor;11;b;2;4;5;7;9;11;12;1;Db;Eb;E;Gb;Ab;Bb;B;C;;;;;;;;
615;3;D;Bebop Scales;4;Bebop Minor;12;;3;5;6;8;10;12;1;2;D;E;F;G;A;B;C;C#;;;;;;;;
616;4;Eb;Bebop Scales;4;Bebop Minor;1;b;4;6;7;9;11;1;2;3;Eb;F;Gb;Ab;Bb;C;Db;D;;;;;;;;
617;5;E;Bebop Scales;4;Bebop Minor;2;b;5;7;8;10;12;2;3;4;E;Gb;G;A;B;Db;D;Eb;;;;;;;;
618;6;F;Bebop Scales;4;Bebop Minor;3;;6;8;9;11;1;3;4;5;F;G;G#;A#;C;D;D#;E;;;;;;;;
619;7;Gb;Bebop Scales;4;Bebop Minor;4;b;7;9;10;12;2;4;5;6;Gb;Ab;A;B;Db;Eb;E;F;;;;;;;;
620;8;G;Bebop Scales;4;Bebop Minor;5;;8;10;11;1;3;5;6;7;G;A;A#;C;D;E;F;F#;;;;;;;;
621;9;Ab;Bebop Scales;4;Bebop Minor;6;b;9;11;12;2;4;6;7;8;Ab;Bb;B;Db;Eb;F;Gb;G;;;;;;;;
622;10;A;Bebop Scales;4;Bebop Minor;7;;10;12;1;3;5;7;8;9;A;B;C;D;E;F#;G;G#;;;;;;;;
623;11;A#;Bebop Scales;4;Bebop Minor;8;;11;1;2;4;6;8;9;10;A#;C;C#;D#;F;G;G#;A;;;;;;;;
624;12;B;Bebop Scales;4;Bebop Minor;9;b;12;2;3;5;7;9;10;11;B;Db;D;E;Gb;Ab;A;Bb;;;;;;;;
625;1;C;Bebop Scales;5;Bebop Dominant;6;b;1;3;5;6;8;10;11;12;C;D;E;F;G;A;Bb;B;;;;;;;;
626;2;C#;Bebop Scales;5;Bebop Dominant;7;;2;4;6;7;9;11;12;1;C#;D#;F;F#;G#;A#;B;C;;;;;;;;
627;3;D;Bebop Scales;5;Bebop Dominant;8;;3;5;7;8;10;12;1;2;D;E;F#;G;A;B;C;C#;;;;;;;;
628;4;Eb;Bebop Scales;5;Bebop Dominant;9;b;4;6;8;9;11;1;2;3;Eb;F;G;Ab;Bb;C;Db;D;;;;;;;;
629;5;E;Bebop Scales;5;Bebop Dominant;10;;5;7;9;10;12;2;3;4;E;F#;G#;A;B;C#;D;D#;;;;;;;;
630;6;F;Bebop Scales;5;Bebop Dominant;11;b;6;8;10;11;1;3;4;5;F;G;A;Bb;C;D;Eb;E;;;;;;;;
631;7;F#;Bebop Scales;5;Bebop Dominant;12;;7;9;11;12;2;4;5;6;F#;G#;A#;B;C#;D#;E;F;;;;;;;;
632;8;G;Bebop Scales;5;Bebop Dominant;1;b;8;10;12;1;3;5;6;7;G;A;B;C;D;E;F;Gb;;;;;;;;
633;9;Ab;Bebop Scales;5;Bebop Dominant;2;b;9;11;1;2;4;6;7;8;Ab;Bb;C;Db;Eb;F;Gb;G;;;;;;;;
634;10;A;Bebop Scales;5;Bebop Dominant;3;;10;12;2;3;5;7;8;9;A;B;C#;D;E;F#;G;G#;;;;;;;;
635;11;Bb;Bebop Scales;5;Bebop Dominant;4;b;11;1;3;4;6;8;9;10;Bb;C;D;Eb;F;G;Ab;A;;;;;;;;
636;12;B;Bebop Scales;5;Bebop Dominant;5;;12;2;4;5;7;9;10;11;B;C#;D#;E;F#;G#;A;A#;;;;;;;;
